Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CN-AS1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,12000,Conservation_scrapee
CN-AS3,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,4500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,5000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 250 m²,6000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 500 m²,3000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 500 m²,2500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,4000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,3500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu non équipé,,Inférieure à 2000 m²,3000,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 2000 m²,2500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Immeubles construits,Construction à usage commercial,,*****,14500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Immeubles construits,Construction à usage touristique,,*****,14500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
CN-AS3,,,Immeubles construits,Villa,,*****,5500,,,,,,,,,CASA AIN SBAA HAY MOHAMMADI
