Code Zone,lat,lng
CS-AC21,33.5370603,-7.5981542
CS-AC22,33.5370603,-7.5981542
CS-AC23,33.5370603,-7.5981542
CS-AC24,33.5370603,-7.5981542
CS-AC25,33.5370603,-7.5981542
CS-AC26,33.5370603,-7.5981542
CS-AC27,33.5370603,-7.5981542
CS-AC28,33.5370603,-7.5981542
CS-AC31,33.5370603,-7.5981542
CS-AC32,33.5370603,-7.5981542
CS-AC34,33.5370603,-7.5981542
CS-HH1,33.5702887,-7.678495
CS-HH2,33.5695318,-7.652312
CS-HH4,33.5702887,-7.678495
CS-HH5,33.5702887,-7.678495
CS-HH6,33.5702887,-7.678495
CS-HH7,33.5702887,-7.678495
CS-HH8,33.5702887,-7.678495
CS-HH9,33.5702887,-7.678495
CS-HH11,33.5702887,-7.678495
CS-HH12,33.5702887,-7.678495
CS-HH13,33.5702887,-7.678495
CS-HH14,33.5702887,-7.678495
CS-HH15,33.5702887,-7.678495
CS-HH16,33.5702887,-7.678495
CS-HH17,33.5702887,-7.678495
CS-HH19,33.5702887,-7.678495
CS-HH20,33.5702887,-7.678495
CS-HH22,33.5702887,-7.678495
CS-HH23,33.5702887,-7.678495
CS-HH24,33.5702887,-7.678495
CS-HH25,33.5702887,-7.678495
CS-HH26,33.5702887,-7.678495
CS-HH27,33.5702887,-7.678495
CS-HH28,33.5702887,-7.678495
CS-HH29,33.5702887,-7.678495
CS-HH30,33.5702887,-7.678495
CS-HH31,33.5351648,-7.6917004
CS-HH32,33.5702887,-7.678495
CS-HH33,33.5702887,-7.678495
CS-HH34,33.5711577,-7.6471452
CE-BM1,33.5542611,-7.5813658
CE-BM2,33.5542611,-7.5813658
CE-SB2,33.5386599,-7.5530852
CE-SB3,33.5376589,-7.564046
CE-SB4,33.5376589,-7.564046
CE-SB5,33.5384088,-7.5746587
CE-SB6,33.5412737,-7.569497
CE-MR1,,
CE-MR2,,
CE-MR3,,
CE-MR4,,
CE-MR6,,
CE-MR7,,
CE-MR8,,
CE-MR9,33.5699037,-7.6828591
CE-SO1,33.5617797,-7.5715296
CE-SO2,33.5617797,-7.5715296
CE-SO3,33.5749192,-7.603575
CE-SO4,33.5617797,-7.5715296
CE-SO5,33.5617797,-7.5715296
CE-SO6,33.5605055,-7.5581006
