Rang,Code Zone,Zone,Arrondissement,Prix m² (DH),Score_Accessibilite,Score_Amenites,Score_Environnement,Score_Prestige,Score_Attractivite
57,CC-SB11,"Lusitania Centre côté Place Maréshal, Place des Nations Unies, Sidi Belyout, Place Zallaga, Bourse de Casablanca, Place Istiqlal ex Mirabeau",Sidi Belyout,18000.0,69.2,19.1,63.9,49.8,53.1
58,CC-SB3,Av. Pasteur,Sidi Belyout,16800.0,80.0,12.0,43.1,49.8,52.3
59,CC-SB4,Bd Ambassadeur Ben Aicha,Sidi Belyout,14300.0,75.2,18.0,56.7,48.6,52.1
60,CC-SB18,"Quadruple délimité par Bd Zerktouni (Sud), Bd Ziraoui (Ouest), Bd Mly Youssef (Nord) et Bd Anfa (Est) : Quartier Gautier Ouest",Sidi Belyout,14000.0,69.2,19.1,63.9,48.8,52.0
61,CC-AN13,Anfa Supérieur,Anfa,18500.0,63.4,2.5,73.9,53.3,51.5
62,CC-MA16,"Rivièra Est délimité par Bd Ghandi, Oasis Ouest délimité par Bd Abderrahim Bouabid",Maârif,13143.0,75.9,82.7,58.4,29.7,50.6
63,CC-MA19,"France Ville Ouest délimité par Rue Laârbi Doghmi, Rue Ibn El Kotaiba, Rue Abdelkrim Raisse, Bd Anoual, Bd Abdelmoumen et Bd Ghandi",Maârif,12714.0,75.9,82.7,58.4,29.4,50.3
64,CC-MA11,"Hermitage Est, Quartier Haj Abdellah, Tantonville Est délimité par Av. des Pléiades",Maârif,11875.0,75.9,82.7,58.4,28.9,49.8
65,CC-SB10,"Alsace Lorraine, Ben Jdia, Liberté, Derb Omar, Mers Sultan (côté Arrondissement Sidi Belyout), Foncière, Place Bandoens, Place 16 Novembre",Sidi Belyout,18100.0,83.1,91.4,57.2,25.1,49.1
66,CC-SB13,"TSF, Foire Internationale de Casablanca, Hôpital Mly Youssef, Verdin, Derb des Anglais, Place Oued Al Makhazin",Sidi Belyout,13200.0,69.2,19.1,63.9,44.2,47.5
67,CN-RN3,Bd Mohammed V,Roches Noires,18800.0,80.8,44.3,58.9,33.1,44.3
68,CC-MS2,Rue de Madrid,Mers Sultan,19750.0,81.0,61.4,62.3,26.8,42.7
69,CC-SB14,"Ancienne Médina, Sour Jdid (Marine Royale), Quartier Cuba, Derb Tazi",Sidi Belyout,11625.0,69.2,19.1,63.9,38.9,42.3
70,CC-MS3,Rue de Rome,Mers Sultan,19750.0,80.5,59.5,58.4,26.8,42.1
71,CC-MA4,Bd Ghandi,Maârif,14750.0,85.4,21.3,51.5,35.4,41.0
72,CS-HH34,Rce Ghandi,Hay Hassani,12662.0,81.1,42.1,50.8,29.7,40.5
