Code Zone,Zone,Arrondissement
CS-AC1,Av. Tah (de Bd Med VI à Av. 2 Mars),Ain Chock
CS-AC18,"Quadruple délimité par Bd Taddart (Sud), Axe voirie AC03 (Ouest), Axe Voirie AC02 (Nord) et Bd Al Qods (Est) à l'exception du GH Nour : Lot Oulad Taleb, Coopérative Echaraf, Mosquée Mokhtar Soussi, Rce Jardins de Majorelle",Ain Chock
CS-AC20,"Hay Achchabab (Chabab), Hay Yasmina",Ain Chock
CS-HH25,"Quadruple délimité par Bd Moulouya (Sud), Bd Oued Oum Rabia (Ouest), Rte du Complexe Administratif (Nord) et Av. Mohamed Taieb Naciri-Rte du Complexe Administratif (Est) : Lot Ferdaous, Lot Wiam, Lot Hassania, El Oulfa Nord délimitée par Bd Moulouya, Hôpital Cheikh Khalifa Bin Zayd Al Nahyan, Lycée Tarik Bnou Ziyad",Hay Hassani
CS-AC10,"Lot Zineb, Lot Keltoum, Lot Al Hanane, Rce Marjana, Rce Oasis Square (R+3), Technopark, UNCAM",Ain Chock
CS-HH2,Bd Yacoub El Mansour,Hay Hassani
CN-RN7,"Belvédère Sud délimité par Rue Ifni, Bd Ibn Tachfine et Rte des Ouled Ziane, Lot Mazzella",Roches Noires
CC-AF7,Hay Riad El Ali,Al Fida
CS-AC17,"Quadruple délimité par Axe Voirie AC05 (Sud), Bd El Qods (Ouest), Av. Dakhla (Nord) et Axe Voirie AC15 (Est) y compris le GH Safa Tranche 1 : Hay Chrifa, Lot El Omaria, Lot Mouna, Diyar Al Jadida, Souk Namoudaji Inara",Ain Chock
CS-AC34,"Lot Soufiane, Lot Amine, Lot Lina, Lot Bouchra, Hay Najah, Lot Dandoune, Lot Kawtar, Lot Rokia, Lot Al Othmaniya, Lot El Kheir, Lot Leila, Lot Saâda, Lot Charaf, Lot Mabrouka, Lot Jnanat",Ain Chock
CN-RN4,Hay Roches Noires,Roches Noires
CS-HH4,"Zone délimitée par Bd Ghandi, Bd Abdelkrim Al Khattabi, Bd Sidi Abderrahman, Rue de Sijilmassa, Rue de Mdaghra, Rue de Walili, Rue de Bab Al Mansour, Rue de l'Oudaya, Rue de Hassan, et Bd Ibnou Sina : Longchamps, Lot Saad, Lot OCP, Lot Chama",Hay Hassani
CN-RN10,"Quadruple délimité par Rue Ifni (Ouest), Bd Ibn Tachfine (Nord), Rue Sergent Med Moussaoui (Est) et Rte des Ouled Ziane (Sud) : Rce Les Jardins de Belvédère, GH Al Majd, Quartier Douane",Roches Noires
CN-RN8,"Triangle délimité par la voie de Chemin de Fer, Rue des Oudaya et Bd Ibn Tachfine : Centrale Laitière et voisinage, Rce Mawada, Rce Al Abrar, Hay Chadia, Rce Venise",Roches Noires
CS-AC24,"Lot Al Massarra, Hay Inara 3, Hay El Ousra, Hay Yasmina 5, Hay El Fadl, Lot Salima, Lot Ghita, Lot Karim, Lot Blad Marbouha, Lot Lalla Khadija, Lot Al Idaâ, Lot Al Idaâ 2, Lot Al Moustakbal, Hay El Fath",Ain Chock
