Code Zone,lat,lng,distance_vol_oiseau_km,temps_voiture_estime_min,nb_arrets_bus_500m,nb_arrets_tramway_500m,nb_taxis_500m,nb_ecoles_1km,nb_hopitaux_2km,nb_cliniques_2km,nb_pharmacies_500m,nb_supermarches_500m,nb_epiceries_500m,nb_mosquees_500m,nb_banques_1km,nb_restaurants_500m
CC-AF7,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF8,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CC-AF9,33.5649078,-7.5965827,3.785,11.8,13,4,0,18,4,11,3,1,0,1,28,1
CN-RN1,33.5967566,-7.5964595,2.224,6.9,5,2,0,2,1,2,1,2,0,1,21,3
CN-RN2,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN3,33.5921816,-7.5956449,2.257,7.0,7,4,1,2,1,3,5,3,0,1,26,5
CN-RN4,33.5937905,-7.5961104,2.215,6.9,7,2,0,2,1,3,5,4,0,1,24,6
CN-RN5,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN6,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN7,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN8,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN9,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN10,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN11,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN12,33.5931914,-7.5957822,2.244,7.0,5,4,0,2,1,3,5,3,0,1,25,6
CN-RN13,33.5872272,-7.5953783,2.363,7.4,11,4,1,5,2,4,2,4,0,0,23,2
CN-HM1,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM2,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM3,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM4,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM5,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
CN-HM6,33.5841444,-7.5569559,5.918,18.5,8,0,1,7,6,2,1,1,0,2,1,0
