quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude,dist_tram_m,tram_500m,intersect_500m,tt_centre_min,tt_cfc_min,tt_maarif_min,tt_sidi_maarouf_min,tt_port_min,n_ecoles_500m,n_ecoles_1km,dist_ecole_m,n_banques_500m,n_banques_1km,dist_banque_m,n_malls_500m,n_malls_1km,dist_mall_m,dist_mer_m,dist_parc_m,n_parcs_1km,surface_verte_m2_1km,nuisance_route_500m,n_industries_500m,n_fuel_500m,haut standing,log_prix_m2,log_surface_m2
Les Princesses,Studio,25385.0,Bon état,52,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.14191372738149,3.951243718581428
Racine,Appartement,19212.0,Bon état,203,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.863290362784715,5.313205979041787
Californie,Villa,23600.0,Bon état,500,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,1,10.0690019910137,6.214608098422191
Gauthier,Studio,21538.0,Bon état,65,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.977574095888826,4.174387269895637
Nassim,Villa,9750.0,Bon état,800,33.575,-7.619,627.535688939886,0,233,5.0,17.7,4.6,14.2,12.2,2,15,299.3690146280418,6,38,361.7654148423061,0,1,941.0956055898966,2925.986236036671,444.158138780153,4,80591.3,0.0,0,4,0,9.185022563991893,6.684611727667927
Maarif Extension,Appartement,17347.0,Bon état,98,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,1,9.76117485976141,4.584967478670572
Salam,Studio,26087.0,Bon état,46,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,10.16919238493441,3.828641396489095
Triangle d'Or,Appartement,17644.0,Bon état,191,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.77815106122483,5.25227342804663
Les Princesses,Appartement,13208.0,Bon état,159,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,1,9.488577985599964,5.068904202220232
Ain Diab,Villa,22336.0,Bon état,488,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,0,10.0139550055621,6.190315405853148
Ain Diab,Appartement,27426.0,Bon état,237,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,1,10.2192467475598,5.468060141135132
Maarif Extension,Appartement,11111.0,Bon état,126,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.315690887584008,4.836281906951478
Bourgogne Est,Studio,17808.0,Neuf,73,33.589,-7.6113,263.0200187547561,1,245,2.3,22.7,6.9,19.5,6.9,3,24,273.4785291420873,31,107,65.19973859491108,0,2,652.4577986954109,1438.87228183092,731.610881689414,3,56027.1,0.0,0,1,0,9.787403073515327,4.290459441148391
Nassim,Appartement,9080.0,Bon état,87,33.575,-7.619,627.535688939886,0,233,5.0,17.7,4.6,14.2,12.2,2,15,299.3690146280418,6,38,361.7654148423061,0,1,941.0956055898966,2925.986236036671,444.158138780153,4,80591.3,0.0,0,4,0,9.11382947159534,4.465908118654584
Les Hopitaux,Appartement,10963.0,Bon état,161,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.30228124567454,5.081404364984463
Val Fleury,Villa,34000.0,Bon état,1267,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,10.4341158035983,7.144407180321139
Ain Diab,Villa,19500.0,Bon état,400,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,0,9.878169744551839,5.991464547107982
Maarif Extension,Appartement,13725.0,Bon état,102,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.526974266377731,4.624972813284271
Maarif Extension,Appartement,13433.0,Bon état,67,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.505469645063013,4.204692619390966
Ain Diab,Villa,16000.0,Bon état,750,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,0,9.680344001221918,6.620073206530356
Salam,Villa,20217.0,A renover,460,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.914279113614327,6.131226489483141
Racine,Appartement,20225.0,Bon état,178,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.914674741926692,5.181783550292085
Racine,Appartement,21111.0,Bon état,180,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.957549510634658,5.19295685089021
Les Hopitaux,Appartement,18095.0,Neuf,105,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.803390935997843,4.653960350157523
Nassim,Appartement,11328.0,Bon état,128,33.575,-7.619,627.535688939886,0,233,5.0,17.7,4.6,14.2,12.2,2,15,299.3690146280418,6,38,361.7654148423061,0,1,941.0956055898966,2925.986236036671,444.158138780153,4,80591.3,0.0,0,4,0,9.3350328159335,4.852030263919617
Anfa,Studio,23261.0,Bon état,46,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,10.05453341740991,3.828641396489095
Val Fleury,Studio,15231.0,Neuf,65,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,9.631088103615504,4.174387269895637
Salam,Villa,20652.0,Bon état,460,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.93556744599954,6.131226489483141
Racine,Villa,16950.0,Bon état,1000,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.738023112808596,6.907755278982137
Triangle d'Or,Appartement,14253.0,Bon état,221,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.564722689855031,5.398162701517752
Maarif Extension,Appartement,10935.0,Bon état,631,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,1,9.299723933110869,6.447305862541213
Bernoussi,Villa,12324.0,Bon état,142,33.6058,-7.5341,561.5019070033968,0,153,25.3,44.0,29.9,39.1,19.2,1,12,362.478629218759,7,10,130.1866313637076,0,0,2541.598322511336,1640.501502529757,440.967042981673,6,186265.9,2431.1,1,0,0,9.419303859716559,4.955827057601261
Maarif,Appartement,11567.0,Bon état,134,33.578,-7.63,516.1618040869354,0,370,5.0,16.3,1.3,13.9,13.1,4,20,24.99190181775799,14,62,398.5943794644788,0,0,1039.590736742931,2854.671279154411,262.0862290850807,9,85359.3,0.0,0,1,0,9.355911495295402,4.897839799950911
Oulfa,Appartement,11905.0,Bon état,126,33.5368,-7.6572,833.5040378000114,0,60,21.3,2.8,16.8,4.1,29.2,2,8,271.617575595435,0,3,635.7885927742001,0,0,1308.132165664691,6292.724234225559,1553.081495273229,0,0.0,3487.4,0,0,0,9.384713758920963,4.836281906951478
Bernoussi,Appartement,8500.0,Bon état,100,33.6058,-7.5341,561.5019070033968,0,153,25.3,44.0,29.9,39.1,19.2,1,12,362.478629218759,7,10,130.1866313637076,0,0,2541.598322511336,1640.501502529757,440.967042981673,6,186265.9,2431.1,1,0,0,9.047821442478408,4.605170185988092
Maarif Extension,Appartement,1649.0,Recent,97,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,7.407924322559599,4.574710978503383
Anfa Superieur,Villa,22086.0,Bon état,815,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.00269920260708,6.703188113240863
Anfa Superieur,Villa,22439.0,Bon état,1025,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.0185557953638,6.932447891572509
Anfa Superieur,Villa,26737.0,Bon état,475,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.19380365288855,6.163314804034641
Anfa Superieur,Villa,32010.0,Bon état,781,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.37380363296391,6.660575149839686
Ain Diab,Villa,15928.0,Bon état,722,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,0,9.675833845744032,6.582025138892826
Anfa,Villa,15506.0,Bon état,890,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.648982324778904,6.791221462726186
Californie,Villa,5744.0,Bon état,4875,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,8.65591111072806,8.491875383431948
Californie,Villa,12866.0,Bon état,855,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.462343451970945,6.75110146893676
Salam,Villa,13566.0,Bon état,715,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.515321941506025,6.572282542694007
Salam,Villa,25641.0,Neuf,390,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,10.15194791183413,5.966146739123692
Californie,Villa,8043.0,Bon état,2611,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,8.99255742690407,7.867488568699128
Salam,Villa,15888.0,Bon état,535,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.673319386284954,6.282266746896006
Ain Diab,Villa,20270.0,Bon état,518,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,0,9.916897239446046,6.249975242259483
Anfa,Villa,16949.0,Bon état,590,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.737964114018055,6.380122536899765
Californie,Villa,10667.0,Bon état,1500,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.274910142625483,7.313220387090301
Val Fleury,Appartement,14645.0,Bon état,183,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,9.591854259261833,5.209486152841421
Val Fleury,Appartement,14632.0,Bon état,95,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,9.590966190070702,4.553876891600541
Les Hopitaux,Appartement,13905.0,Bon état,169,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.540003766668065,5.129898714923073
Beausejour,Appartement,18595.0,Bon état,121,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,0,9.830648006359171,4.795790545596741
Californie,Appartement,17500.0,Bon état,112,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.769956159911606,4.718498871295094
Anfa Superieur,Villa,18391.0,Bon état,2175,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,9.81961669349898,7.684783943522785
Anfa Superieur,Villa,18947.0,Bon état,2375,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,9.849400886632361,7.772752716468742
Anfa Superieur,Villa,17747.0,Bon état,1465,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,9.783971766534565,7.289610521451167
Salam,Villa,27586.0,Bon état,435,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,10.22506367663546,6.075346031088684
Salam,Villa,25729.0,Bon état,583,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,10.15537403938255,6.368187186350492
Salam,Villa,15992.0,Bon état,988,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.679843876180236,6.895682697747868
Anfa Superieur,Villa,25381.0,Bon état,2955,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.14175614159541,7.991253929840199
Anfa,Villa,14644.0,Bon état,1195,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.591785974240127,7.085901464365611
Anfa,Villa,16552.0,Bon état,725,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.714262219425379,6.586171654854675
Anfa,Villa,16020.0,Bon état,593,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,0,9.68159322062235,6.385194398997726
Salam,Villa,16957.0,Bon état,460,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.738436006907127,6.131226489483141
Salam,Villa,15852.0,Bon état,675,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.671050954310326,6.51471269087253
Salam,Villa,20870.0,Bon état,575,33.5487,-7.6411,533.0965505090044,0,154,15.5,7.4,11.4,3.3,23.3,3,9,301.0779371521749,0,8,533.664299097827,1,1,447.7300658055582,6214.477068584728,374.8826423566222,14,16276.2,5463.8,0,0,0,9.946068000071246,6.354370040797351
Californie,Villa,9360.0,Bon état,1015,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.144200569471638,6.922643891475888
Racine,Appartement,18235.0,Bon état,340,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.81109810324278,5.828945617610207
Gauthier,Appartement,17857.0,Neuf,168,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.790150867197125,5.123963979403259
Ain Sebaa,Appartement,12297.0,Neuf,74,33.606,-7.544,1272.416875442093,0,156,22.5,41.6,27.2,36.8,16.3,0,5,674.1693061413155,4,10,231.2993770203631,0,0,3458.476755459968,1560.609873284391,476.4753024967785,1,3125.7,2179.8,0,0,0,9.417110609172447,4.30406509320417
Sidi Maarouf,Villa,13153.0,A renover,555,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,1,9.48440514846878,6.318968113746434
Sidi Maarouf,Appartement,15789.0,Bon état,114,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,0,9.667068774021889,4.736198448394496
Racine,Appartement,19512.0,Bon état,164,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.878784939895755,5.099866427824199
Les Hopitaux,Appartement,15841.0,Recent,113,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.670356794688852,4.727387818712341
Bernoussi,Appartement,7778.0,Bon état,54,33.6058,-7.5341,561.5019070033968,0,153,25.3,44.0,29.9,39.1,19.2,1,12,362.478629218759,7,10,130.1866313637076,0,0,2541.598322511336,1640.501502529757,440.967042981673,6,186265.9,2431.1,1,0,0,8.959054514715692,3.988984046564275
Bourgogne Ouest,Appartement,18617.0,Bon état,188,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,0,9.831830420771897,5.236441962829949
Nassim,Appartement,10714.0,Bon état,98,33.575,-7.619,627.535688939886,0,233,5.0,17.7,4.6,14.2,12.2,2,15,299.3690146280418,6,38,361.7654148423061,0,1,941.0956055898966,2925.986236036671,444.158138780153,4,80591.3,0.0,0,4,1,9.279306576440906,4.584967478670572
Sidi Maarouf,Appartement,10000.0,Bon état,90,33.5433,-7.6578,285.1916267776966,1,176,19.5,2.2,14.8,4.4,27.5,5,10,105.3468706265121,0,0,1047.606462501049,0,0,1491.775741859731,5703.85074577057,1390.852639316669,0,0.0,2654.4,0,0,0,9.210340371976184,4.499809670330265
Californie,Villa,16509.0,Bon état,1060,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.711660965727868,6.966024187106113
Bourgogne Ouest,Appartement,26136.0,Bon état,88,33.5895,-7.6156,228.6013139598524,1,239,1.1,22.0,5.9,19.1,7.4,1,20,481.616359297559,38,113,107.1278108274494,1,2,260.4784121743854,1310.159668709335,382.8151670100606,6,259448.4,0.0,0,1,1,10.17106895328091,4.477336814478207
Racine,Appartement,16379.0,Bon état,116,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,0,9.70375530548238,4.753590191106364
Val Fleury,Appartement,14599.0,Bon état,137,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,9.58870831219998,4.919980925828125
Gauthier,Appartement,18304.0,Bon état,224,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.814874894179525,5.41164605185504
Triangle d'Or,Appartement,17677.0,Bon état,198,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.780019638535883,5.288267030694535
Ain Diab,Maison,18939.0,Bon état,396,33.5955,-7.684,944.6266234420842,0,0,18.8,19.5,15.5,22.7,24.4,0,0,2082.934787207765,1,5,496.0876880211647,0,0,1856.087733141099,395.288351250024,2293.989799137898,0,0.0,0.0,0,0,1,9.848978567035735,5.981414211254481
Nassim,Appartement,12698.0,Bon état,126,33.575,-7.619,627.535688939886,0,233,5.0,17.7,4.6,14.2,12.2,2,15,299.3690146280418,6,38,361.7654148423061,0,1,941.0956055898966,2925.986236036671,444.158138780153,4,80591.3,0.0,0,4,0,9.449199779730396,4.836281906951478
Val Fleury,Appartement,12573.0,Bon état,171,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,0,9.439306936593182,5.14166355650266
Racine,Appartement,15534.0,Bon état,206,33.587,-7.6386,1473.215023052034,0,1291,5.6,17.6,2.7,16.6,12.9,7,28,97.8353609915267,33,89,58.85125793121605,0,0,1195.846353700916,1981.136081143451,212.0910495019019,5,40015.0,2545.4,0,1,1,9.650786448979593,5.327876168789581
