quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude,dist_tram_m,tram_500m,intersect_500m,tt_centre_min,tt_cfc_min,tt_maarif_min,tt_sidi_maarouf_min,tt_port_min,n_ecoles_500m,n_ecoles_1km,dist_ecole_m,n_banques_500m,n_banques_1km,dist_banque_m,n_malls_500m,n_malls_1km,dist_mall_m,dist_mer_m,dist_parc_m,n_parcs_1km,surface_verte_m2_1km,nuisance_route_500m,n_industries_500m,n_fuel_500m,haut standing,log_prix_m2,log_surface_m2
Oasis,Appartement,18023.0,Bon état,86,33.564,-7.6223,439.4548758165475,1,192,8.9,14.6,6.6,10.5,16.1,5,17,178.3049765648991,1,18,488.8021502518404,0,1,685.5191232564281,4170.322914127682,416.3842922132512,5,108605.7,2253.1,0,2,0,9.799403998992805,4.454347296253507
Californie,Appartement,14231.0,Bon état,130,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,0,9.56317796268366,4.867534450455582
Mers Sultan,Appartement,14286.0,Bon état,98,33.5921,-7.6024,165.7308739134413,1,262,5.0,25.3,9.7,21.8,5.1,1,7,453.5204000758147,18,51,105.7672581525134,0,0,1113.518424748274,1120.387185555903,162.627434636914,3,17996.5,5676.8,0,5,0,9.567035315714918,4.584967478670572
Val Fleury,Appartement,20278.0,Bon état,72,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,1,9.917291833512525,4.276666119016055
Belvedere,Appartement,14074.0,Bon état,108,33.5901,-7.5939,179.3843827470573,1,280,7.3,26.6,11.8,22.7,6.0,2,2,274.5540685228433,9,26,82.02163815120926,1,1,466.4574430381347,1457.133247994956,154.6185354394611,8,38645.0,1585.6,0,4,0,9.552084402526495,4.68213122712422
Ain Diab Extension,Appartement,12927.0,Bon état,164,33.598,-7.701,2206.005542949161,0,0,23.8,22.2,20.5,26.3,29.2,0,0,2531.564364864748,0,0,2093.01515180563,0,0,2527.273766723253,1619.957739080469,3100.199479213474,0,0.0,0.0,0,0,0,9.467073426283948,5.099866427824199
Californie,Appartement,16748.0,Bon état,133,33.5731,-7.6298,378.7735758147751,1,307,6.4,15.0,2.8,12.3,14.4,2,17,337.9280663581789,8,44,269.9398513423109,0,1,542.3638809268792,3348.817120166832,740.7354814679283,7,53697.9,0.0,0,1,1,9.726034127139034,4.890349128221754
Les Princesses,Studio,28889.0,Bon état,63,33.582,-7.638,1235.87524176602,0,1011,6.0,16.1,1.4,14.9,13.8,9,24,246.7701915720199,18,87,103.0581115608424,0,0,1420.353190557202,2538.582675240804,389.033457898977,6,24300.7,1877.1,2,2,0,10.2712161788079,4.143134726391533
Belvedere,Appartement,13058.0,Bon état,121,33.5901,-7.5939,179.3843827470573,1,280,7.3,26.6,11.8,22.7,6.0,2,2,274.5540685228433,9,26,82.02163815120926,1,1,466.4574430381347,1457.133247994956,154.6185354394611,8,38645.0,1585.6,0,4,0,9.477156251746578,4.795790545596741
Triangle d'Or,Appartement,20000.0,Recent,245,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.903487552536127,5.501258210544727
Polo,Villa,23295.0,Bon état,601,33.584,-7.652,1823.022404316051,0,353,9.6,15.3,5.5,15.7,16.8,5,25,173.0283446003575,3,25,413.8541762787918,0,0,1077.073075695572,2336.257542589962,820.5022778310127,2,31804.4,1968.5,0,4,1,10.0559940242509,6.398594934535208
Les Hopitaux,Appartement,19091.0,Bon état,110,33.584,-7.598,86.16475996416162,1,198,6.4,24.4,10.2,20.3,7.9,1,12,471.8008773303524,3,22,36.4706250244772,0,1,524.1440908306643,2022.173450146973,712.6310545760888,6,21081.0,3466.3,0,4,0,9.856972298794659,4.700480365792417
Gauthier,Appartement,15094.0,Bon état,212,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.622052592844813,5.356586274672012
Gauthier,Appartement,18929.0,Bon état,280,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.84845041660622,5.634789603169249
Anfa Superieur,Villa,48000.0,Bon état,500,33.5936,-7.6623,1822.522846998491,0,236,12.5,18.1,9.5,19.6,18.4,0,5,508.5276262374399,0,7,537.853953882657,0,1,556.4412964895895,904.0454075058751,837.237040269726,1,9866.0,501.8,0,0,0,10.77895628989003,6.214608098422191
Anfa,Maison,23636.0,Bon état,1100,33.5892,-7.6554,2018.073637944443,0,285,10.4,16.8,7.0,17.6,17.0,1,16,362.6416182317528,0,13,541.7061651720783,0,0,1305.143516239904,1674.22629301091,275.1593621695635,2,31804.4,922.9,0,3,1,10.07052625246557,7.003065458786462
Maarif Extension,Appartement,13333.0,A renover,225,33.578,-7.6419,935.4665533598751,0,800,7.7,14.4,2.7,13.4,15.5,3,28,399.2556942630411,17,60,241.6936439583812,0,1,877.3087569673421,2961.374911819636,388.8110925401876,4,13849.6,1463.2,1,2,0,9.497997444115459,5.41610040220442
Beausejour,Appartement,10690.0,Bon état,145,33.591,-7.6251,425.3804669514898,1,331,1.8,20.7,4.2,18.7,8.9,5,19,115.9786843947549,18,88,120.0524350984131,1,2,194.9715314830628,1370.125624495474,185.5202413092544,7,305563.9,425.9,0,0,0,9.27706400401909,4.976733742420574
Gauthier,Appartement,14286.0,Bon état,147,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,9.567035315714918,4.990432586778736
Val Fleury,Appartement,20278.0,Bon état,72,33.565,-7.637,663.6235306005452,0,256,9.9,11.5,5.6,9.1,17.9,9,20,215.0624755794264,4,22,19.34731164730767,0,0,1089.658915643222,4427.612003368651,404.0002442206165,3,14864.4,2019.8,0,2,1,9.917291833512525,4.276666119016055
Triangle d'Or,Appartement,20330.0,Bon état,182,33.592,-7.613,287.9977253696143,1,240,2.0,23.1,7.0,20.2,6.2,9,18,286.4865875709612,43,109,125.8825840443049,1,2,449.2515242698901,1074.058326140372,484.8554261364226,7,117633.6,0.0,0,0,0,9.919852906622392,5.204006687076795
Bourgogne Est,Appartement,13008.0,Bon état,123,33.589,-7.6113,263.0200187547561,1,245,2.3,22.7,6.9,19.5,6.9,3,24,273.4785291420873,31,107,65.19973859491108,0,2,652.4577986954109,1438.87228183092,731.610881689414,3,56027.1,0.0,0,1,0,9.473319831787592,4.812184355372417
Gauthier,Studio,35238.0,Neuf,42,33.5894,-7.6323,959.1116176283815,0,607,3.8,19.2,3.0,17.6,11.0,5,27,294.5835191360475,30,87,150.4894651367747,0,1,554.6707143418583,1836.82314228007,457.1033411301289,7,257767.7,3160.4,0,2,0,10.46988032475057,3.737669618283368
