source,property_type,transaction,city,page,title,price_text,price_dh,surface_m2,price_m2_calculated,price_m2_mentioned,location,zoning,facade_m,url,raw_text
mubawab,terrain,vente,Casablanca,17,Vente terrain 407m2 Belvédère Casablanca,11 396 000 DH,11396000.0,407.0,28000.0,,Belvédère Casablanca Belvédère,A10,,https://www.mubawab.ma/fr/a/7996100/vente-terrain-407m2-belv%C3%A9d%C3%A8re-casablanca,"11 396 000 DH Vente terrain 407m2 Belvédère Casablanca Belvédère, Casablanca 407 m² A vendre un terrain dans le quartier Belvédère : - Surface : 407 m2 - Le terrain fait partie de la zone A secteur A10 - Zone A : est une zone urbaine où le développement et la création de logements, de commerces, de bureaux et d'équipements hôteliers sont encouragés. - Hauteur maximale autorisée pour A10 est RDC10 étages - Prix de vente : 28 000 DH/M2 Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,"Vente terrain 2189m2 Quartier Miamar, Casablanca",21 890 000 DH,21890000.0,2189.0,10000.0,,Quartier Miamar,D1,,https://www.mubawab.ma/fr/a/7996099/vente-terrain-2189m2-quartier-miamar-casablanca,"21 890 000 DH Vente terrain 2189m2 Quartier Miamar, Casablanca Ain Chock, Casablanca 2189 m² A vendre 2 terrains mitoyens dans le quartier Miamar : - Le terrain est situé en zone D, secteur D1 en plein boulevard Oulad haddou - Le terrain peut être intéressant pour un projet d'école, de cliniques, etc.. - Hauteur maximale autorisée : RDC 1 - Hauteur maximale pour les cliniques sur les axes où elles sont autorisées : RDC2 - Surface totale : 2189 m2 - Surface titre 1 : 1072 m2 - Surface titre 2 : 1117 m2 - Prix de vente : 10 000 DH/M2 Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,Terrain villa 307 m2 nassim islan,2 100 000 DH,2100000.0,307.0,6840.39,,,,,https://www.mubawab.ma/fr/a/7638877/terrain-villa-307-m2-nassim-islan,"2 100 000 DH Terrain villa 307 m2 nassim islan Nassim 2, Casablanca 307 m² Vends TERRAIN de 307 m2 pour villa avec mitoyenneté, titré, à Nassim 2 (Casablanca) dans un lotissement presqu’entièrement construit. Quartier calme, à proximité de toutes commodités, en particulier sur la rocade sud-ouest (écoles, commerces, restaurants, stations services...). Accès aisé par la pénétrante d'Azbane et la rocade sud-ouest. Orientation : avant du terrain orienté sud-est ; arrière du terrain orienté nord-ouest. Proche future gare... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,Vente Terrain nu à Errahma,3 048 000 DH,3048000.0,1016.0,3000.0,,,R2,,https://www.mubawab.ma/fr/a/7937215/vente-terrain-nu-%C3%A0-errahma,"3 048 000 DH Vente Terrain nu à Errahma Casablanca 1016 m² Je mets en vente un beau terrain rectangulaire constructible R2 (zone C, secteur C2) à Errahma, d'une superficie de 1016 m². N’attendez plus ! Contactez-moi au plus vite, pour visiter ce terrain ou pour en savoir plus. Olivier CHAVOIN Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,Vente Terrain nu à Errahma,3 711 000 DH,3711000.0,1237.0,3000.0,,,R2,,https://www.mubawab.ma/fr/a/7937212/vente-terrain-nu-%C3%A0-errahma,"3 711 000 DH Vente Terrain nu à Errahma Casablanca 1237 m² Je mets en vente un beau terrain rectangulaire constructible R2 (zone C, secteur C2) à Errahma, d'une superficie de 1237m². N’attendez plus ! Contactez-moi au plus vite, pour visiter ce terrain ou pour en savoir plus. Olivier CHAVOIN Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,À vendre: terrain industriel 600 m² à ain sebaa,3 920 000 DH,3920000.0,600.0,6533.33,,à ain sebaa Aïn Sebaâ,,20.0,https://www.mubawab.ma/fr/a/7841831/%C3%A0-vendre-terrain-industriel-600-m%C2%B2-%C3%A0-ain-sebaa,"3 920 000 DH À vendre: terrain industriel 600 m² à ain sebaa Aïn Sebaâ, Casablanca 600 m² Une opportunité rare s'offre à vous avec la mise en vente d'un terrain industriel de 600 m², doté d'une façade de 20, à Ain Sebaa. Caractéristiques du Terrain : Superficie : 600 m² Façade : 20 mètres Localisation : Idéalement situé à Ain Sebaa, ce terrain offre un emplacement stratégique au cœur d'une zone industrielle dynamique. Prix de Vente : 3 920 000,00 MAD Contactez-nous dès maintenant pour plus d'informations ou pour organi... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,En Exclusivité: Vente terrain pour villa de 1967m2 Ain Diab...,16 550 000 DH,16550000.0,1967.0,8413.83,,Ain Diab,,,https://www.mubawab.ma/fr/a/7613319/en-exclusivit%C3%A9-vente-terrain-pour-villa-de-1967m2-ain-diab-casablanca,"16 550 000 DH En Exclusivité: Vente terrain pour villa de 1967m2 Ain Diab... Ain Diab, Casablanca 1967 m² A vendre, en Exclusivité, Terrain de 1967m2 pour villa Zone D secteur D1s1 à Ain Diab près de la Route d’Azemmour, dans un environnement très agréable, calme et résidentiel. Le terrain peut faire l’objet d’un projet de morcellement. Honoraires agence de l’acquéreur : 2% HT Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,"Excellente opportunité, Terrain industriel en zone i2S1 de 2...",21 500 000 DH,21500000.0,26500.0,811.32,,Lissasfa,i2,,https://www.mubawab.ma/fr/a/7897345/excellente-opportunit%C3%A9-terrain-industriel-en-zone-i2s1-de-26-500-m2-a-la-vente-a-lissasfa,"21 500 000 DH Excellente opportunité, Terrain industriel en zone i2S1 de 2... Lissasfa, Casablanca 26500 m² Capital Foncier vous propose à la vente une surface de terrain industriel de 26.500 m2 en zone i2S1 situé dans la zone industrielle de Lissasfa , idéal pour exercer tous types de production industrielle ou entreposage . Accès autoroutier immédiat . Pour plus d’info, n’hésitez pas à contacter Driss de Capital Foncier au 06 02 97 77 80.Capital Foncier vous propose à la vente une surface de terrain industriel de 26.500 m2 en zone i2S1 situé dan... Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,Terrain a usage commercial de 1373 m2 de surface en plein bl...,16 500 000 DH,16500000.0,1373.0,12017.48,,Californie,,,https://www.mubawab.ma/fr/a/7861518/terrain-a-usage-commercial-de-1373-m2-de-surface-en-plein-bld-al-qods-californie-a-la-vente,"16 500 000 DH Terrain a usage commercial de 1373 m2 de surface en plein bl... Californie, Casablanca 1373 m² Capital Foncier vous propose un terrain commercial en plein bld qods , Californie de 1.373 m a la vente idéal pour plateaux de bureaux , siège social , clinique , école , etc … . Pour plus d infos n hésiter pas à me contacter au : Driss Contacter Appelez WhatsApp"
mubawab,terrain,vente,Casablanca,17,"Excellente opportunité, Terrain industriel zone I2S1 de 30.0...",33 000 000 DH,33000000.0,30000.0,1100.0,,Lissasfa,I2,,https://www.mubawab.ma/fr/a/7860887/excellente-opportunit%C3%A9-terrain-industriel-zone-i2s1-de-30-000-m2-a-la-vente-zone-industrielle-lissasfa-acc%C3%A8s-autoroutier-imm%C3%A9diat,"33 000 000 DH Excellente opportunité, Terrain industriel zone I2S1 de 30.0... Lissasfa, Casablanca 30000 m² Capital Foncier vous propose à la vente une surface de terrain industriel de 30.000 m2 en zone i2S1 situé dans la zone industrielle de Lissasfa , idéal pour exercer tous types de production industrielle. Accès autoroutier immédiat . Pour plus d’info, n’hésitez pas à contacter Driss de Capital Foncier au 06 02 97 77 80Capital Foncier vous propose à la vente une surface de terrain industriel de 30.000 m2 en zone i2S1 situé dans la zone industr... Contacter Appelez WhatsApp"
