osm_id,lat,lon
9861705,33.6535214,-7.4827838
9861705,33.6529588,-7.4826658
9861705,33.6526372,-7.4827355
9861705,33.6523827,-7.4830896
9861705,33.6524274,-7.4836797
9861705,33.6526462,-7.4838567
9861705,33.6525971,-7.4843878
9861705,33.6518424,-7.4851441
9861705,33.6514226,-7.4851441
9861705,33.6508868,-7.4853694
9861705,33.6498891,-7.485694
9861705,33.6494798,-7.4866694
9861705,33.6489685,-7.4880322
9861705,33.64887,-7.4884419
9861705,33.6482347,-7.488919
9861705,33.6478863,-7.489445
9861705,33.6474705,-7.4898986
9861705,33.647058,-7.4906385
9861705,33.6463402,-7.4917958
9861705,33.6457537,-7.4927259
9861705,33.6451651,-7.4937758
9861705,33.6445215,-7.4947451
9861705,33.6440229,-7.4959237
9861705,33.643649,-7.4965243
9861705,33.6436702,-7.4970478
9861705,33.6431299,-7.4980295
9861705,33.6425582,-7.4989307
9861705,33.6412832,-7.501342
9861705,33.6409103,-7.5017819
9861708,33.6048145,-7.6399137
9861708,33.6047257,-7.6412507
9861708,33.6047224,-7.6413064
9861708,33.6047249,-7.6413828
9861708,33.6047229,-7.6414308
9861708,33.6047212,-7.6414747
9861708,33.6047179,-7.6415679
9861708,33.6047151,-7.641647
9861708,33.604709,-7.6418341
9861708,33.6046859,-7.6424024
9861708,33.6046723,-7.6427579
9861708,33.6046672,-7.6428547
9861708,33.604671,-7.6429415
9861708,33.6046928,-7.6430661
9861708,33.6048314,-7.6437542
9861708,33.6049149,-7.6442025
9861708,33.6050665,-7.6442987
9861708,33.6051173,-7.6443442
9861708,33.605171,-7.6444155
9861708,33.6052188,-7.6445275
9861708,33.6052373,-7.6446447
9861708,33.6052321,-7.644771
9861708,33.605204,-7.6448885
9861708,33.6051726,-7.6454756
9861708,33.6052445,-7.6456618
9861708,33.6052939,-7.6457602
9861708,33.60556,-7.6461845
9861708,33.6062916,-7.6473485
9861708,33.6066195,-7.6479133
9861708,33.6067007,-7.6479577
9861708,33.606798,-7.6481189
9861708,33.6068688,-7.6482393
9861708,33.6070947,-7.6485771
9861708,33.6072152,-7.648732
9861708,33.607344,-7.648863
9861708,33.6074487,-7.6490189
9861708,33.6076296,-7.6492461
9861708,33.6076576,-7.649319
9861708,33.6076771,-7.649373
9861708,33.6076812,-7.6494259
9861708,33.6076992,-7.649477
9861708,33.607817,-7.6495816
9861708,33.6082903,-7.649803
9861708,33.6087566,-7.6500761
9861708,33.608993,-7.6502434
9861708,33.6095308,-7.6498076
9861708,33.6101094,-7.649813
9861708,33.6111905,-7.6497781
9861708,33.6119344,-7.6498908
9861708,33.6127273,-7.6498801
9861708,33.6135136,-7.6500732
9861708,33.614043,-7.6501697
9861708,33.6146729,-7.6505399
9861708,33.6152604,-7.6509368
9861708,33.6157495,-7.651476
9861708,33.6159371,-7.6519721
9861708,33.6159081,-7.6521117
9861708,33.6158255,-7.6522001
9861708,33.615104,-7.6524845
9861708,33.6143401,-7.6528063
9861708,33.6139537,-7.6529565
9861708,33.6133237,-7.6533374
9861708,33.6127586,-7.6537156
9861708,33.6125754,-7.6537478
9861708,33.6123257,-7.653644
9861708,33.6120371,-7.6534688
9861708,33.6119053,-7.6534769
9861708,33.6118629,-7.6535949
9861708,33.6118897,-7.6537746
9861708,33.6119053,-7.6539972
9861708,33.6118227,-7.6542655
9861708,33.611711,-7.654582
9861708,33.6115837,-7.6548877
9861708,33.6114831,-7.6550406
9861708,33.6112553,-7.655215
9861708,33.6109828,-7.6554322
9861708,33.6107147,-7.6556629
9861708,33.6101116,-7.6559955
9861708,33.6099061,-7.6562369
9861708,33.6096983,-7.6562959
9861708,33.6096067,-7.6562959
9861708,33.6089902,-7.6560652
9861708,33.6086708,-7.6562262
9861708,33.6084608,-7.6565641
9861708,33.608358,-7.656717
9861708,33.6081078,-7.6570335
9861708,33.6078018,-7.6575002
9861708,33.6072344,-7.6582673
9861708,33.6064525,-7.6587126
9861708,33.6058092,-7.6596245
9861708,33.6051904,-7.6602119
9861708,33.6041292,-7.6606384
9861708,33.6038544,-7.6607296
9861708,33.6033451,-7.6617917
9861708,33.602628,-7.6633152
9861708,33.6017523,-7.6648897
9861708,33.6009614,-7.6664051
9861708,33.6003471,-7.667765
9861708,33.5995026,-7.6692188
9861708,33.5988726,-7.6701415
9861708,33.5977615,-7.6715643
9861708,33.5976204,-7.6725325
9861708,33.5974293,-7.6733011
9861708,33.5972729,-7.6743069
9861708,33.5970719,-7.6755488
9861708,33.5971009,-7.6762891
9861708,33.5971434,-7.6765063
