category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website,dist_motorway_m,dist_primary_m,dist_secondary_m,road_accessibility_score
banque_finance,5657167311,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.588956,-7.6120019,,,,,7831.0,550.0,80.0,0.367
banque_finance,5657167313,node,Credit Du Maroc,bank,33.5883918,-7.6089013,Boulevard de Strasbourg,,,,7628.0,390.0,15.0,0.475
banque_finance,5657167318,node,WafaCash,bank,33.5935016,-7.6106447,Boulevard Hassan Seghir,,,,8201.0,355.0,170.0,0.232
banque_finance,5657167320,node,Banque Populaire البنك الشعبي,bank,33.5965759,-7.6137427,Avenue des Forces Armées Royales,,,,8640.0,28.0,222.0,0.755
banque_finance,5657171524,node,Barid Cash,bank,33.5928459,-7.6189347,Boulevard de Paris,,,,8543.0,375.0,21.0,0.465
banque_finance,5657171528,node,,atm,33.5891012,-7.6166528,Rue Al Araar,,,,8080.0,657.0,139.0,0.268
banque_finance,5657171533,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5904329,-7.614605,Rue Al Araar,,,,8098.0,692.0,109.0,0.318
banque_finance,5657171535,node,Saham Bank سهام بنك,bank,33.5909602,-7.6148812,Boulevard du 11 Janvier,,,,8161.0,632.0,64.0,0.393
banque_finance,5657171538,node,BMCI Bank,bank,33.5927264,-7.6119576,Rue Abdellah El Mediuoni,,,,8187.0,415.0,238.0,0.136
banque_finance,5657171539,node,Crédit Du Maroc,bank,33.5929073,-7.6118356,Rue Abdellah El Mediuoni,,,,8199.0,396.0,261.0,0.166
banque_finance,5657171540,node,Attijariwafa Bank التجاري وفا بنك,bank,33.592818,-7.6108834,Boulevard Hassan Seghir,,,,8146.0,428.0,200.0,0.167
banque_finance,5657171541,node,WafaCash/ Western Union,bank,33.5922694,-7.6085325,Rue de Karachi,,,,7986.0,442.0,17.0,0.472
banque_finance,5657171542,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5970052,-7.6110925,Avenue des Forces Armées Royales,,,,8561.0,22.0,148.0,0.765
banque_finance,5657171543,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5970053,-7.6115508,,,,,8582.0,44.0,187.0,0.73
banque_finance,5657171549,node,Arab Bank,bank,33.5940825,-7.6106139,Boulevard Hassan Seghir,,,,8256.0,296.0,162.0,0.326
banque_finance,5657171550,node,AXA,bank,33.5942155,-7.6103704,Boulevard Hassan Seghir,,,,8258.0,272.0,139.0,0.365
banque_finance,5657171551,node,Saham Bank سهام بنك,bank,33.5944858,-7.6103014,Boulevard Hassan Seghir,,,,8281.0,243.0,131.0,0.411
banque_finance,5657171552,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5941105,-7.6089361,,,,,8183.0,253.0,12.0,0.48
banque_finance,5657171556,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5939825,-7.6081952,,,,,8138.0,277.0,51.0,0.415
banque_finance,5657171559,node,WafaCash,bank,33.5932179,-7.6075729,,,,,8036.0,357.0,103.0,0.328
banque_finance,5657171562,node,Al Barid Bank,bank,33.5924649,-7.6070653,,,,,7940.0,307.0,10.0,0.483
banque_finance,5657171565,node,Attijariwafa Bank التجاري وفا بنك,bank,33.5908786,-7.6109907,Rue Souhail Lahcen,,,,7965.0,632.0,114.0,0.31
banque_finance,5657171569,node,Crédit Agricole du Maroc,bank,33.5898095,-7.6114346,Avenue Lalla Yacout,,,,7884.0,633.0,11.0,0.482
banque_finance,5657171570,node,Saham Bank سهام بنك,bank,33.5903502,-7.6120904,Avenue Lalla Yacout,,,,7967.0,677.0,11.0,0.482
banque_finance,5657171575,node,BMCI البنك المغربي للتجارة والصناعة,bank,33.5910317,-7.6137467,Avenue Lalla Yacout,,,,8112.0,612.0,11.0,0.482
banque_finance,5657171576,node,Banque Populaire البنك الشعبي,bank,33.5910696,-7.6139411,Avenue Lalla Yacout,,,,8125.0,612.0,24.0,0.46
banque_finance,5657171584,node,Crédit du Maroc مصرف المغرب,bank,33.5916896,-7.615761,Avenue Lalla Yacout,,,,8274.0,527.0,17.0,0.472
banque_finance,5657171585,node,Bank of Africa ⵍⴱⴰⵏⴽ ⵏ ⴰⴼⵔⵉⵇⵢⴰ بنك أفريقيا,bank,33.5918851,-7.6156162,,,,,8285.0,512.0,9.0,0.485
