osm_id,osm_type,type_vert,name,lat,lon,surface_m2
1117614420,way,grass,,33.57303059047619,-7.535066385714286,42382.0
1117614429,way,grassland,,33.57415692,-7.5394105399999995,17572.0
1117924680,way,grassland,,33.667568677419354,-7.4543173354838705,1763405.8
1146976519,way,pitch,,33.5996799,-7.62865698,895.5
1146976520,way,pitch,,33.59949946,-7.62868354,843.9
1146976521,way,pitch,ملعب القبة,33.599302519999995,-7.6287023199999995,857.6
1146976522,way,pitch,,33.599108380000004,-7.62870084,834.3
1146976523,way,pitch,,33.59891088,-7.62876592,879.2
1148995800,way,park,,33.6482089,-7.47252062,9088.3
1148995801,way,pitch,,33.654409775,-7.476309925,1757.3
1158820623,way,pitch,,33.60335292,-7.55362638,8258.3
1173121707,way,grass,,33.57573384,-7.70588488,3815.7
1173121708,way,grass,,33.5744381,-7.707025875,19735.7
1173121709,way,grass,,33.5734322625,-7.708427675,6136.0
1173121710,way,grass,,33.571856136363635,-7.710828254545454,33039.3
1173126458,way,wood,,33.58113480454546,-7.6967190045454545,11807.7
1173126459,way,wood,,33.580540907058825,-7.693172991764706,95819.8
1173126460,way,grass,,33.581181203571425,-7.693042892857143,3449.5
1173126461,way,grass,,33.58169011538462,-7.694105723076923,1684.2
1173126462,way,wood,,33.58296027857143,-7.690718642857143,10479.8
1173126463,way,wood,,33.582380035294115,-7.690273529411765,2792.2
1173126464,way,grass,,33.562177116,-7.707418444,318971.9
1173126465,way,grass,,33.56056290769231,-7.699779507692308,81521.2
1173126466,way,grass,,33.561353575,-7.716513475,80755.3
1173126468,way,grass,,33.56747408,-7.70666734,27783.5
1173874412,way,grass,,33.60870515,-7.47787385,71553.7
1173965831,way,grass,,33.52893049,-7.61576384,1568.2
1182680820,way,garden,,33.58045752,-7.5041088,677.6
1182680897,way,garden,,33.58060494,-7.50376474,693.2
1182680935,way,garden,,33.5807616,-7.5034165,700.7
1182681071,way,garden,,33.58095036,-7.50294866,529.9
1182681082,way,garden,,33.5810611,-7.50264824,449.3
1182681141,way,garden,,33.58116028,-7.5023864,320.1
1182681156,way,garden,,33.58127048,-7.5021224,414.5
1182681368,way,garden,,33.58166868,-7.50113812,3990.7
1196863032,way,park,,33.53569485,-7.60503487,2767.5
1196863033,way,park,,33.53489296,-7.60461758,1330.5
1196863034,way,park,,33.53308458,-7.60453984,1208.2
1196863035,way,park,,33.53173002222222,-7.606606244444444,4934.2
1202600729,way,park,Villas des Prés - Parc,33.53599329,-7.74789696,32233.0
1211115442,way,park,jardin,33.53360156,-7.74878732,480.3
1217642431,way,garden,,33.583141742857144,-7.563348557142857,1977.8
1217642456,way,pitch,,33.58557166,-7.5689753600000005,1028.2
1225873875,way,pitch,,33.54113454,-7.66075558,1044.1
1225873876,way,pitch,,33.54130232,-7.6605381,265.9
1225873877,way,pitch,,33.54142118,-7.6603257000000005,636.9
1225873880,way,pitch,,33.54240006,-7.65807412,509.1
1225873882,way,pitch,,33.54230778,-7.65759736,1036.5
1225873883,way,pitch,,33.54242328,-7.6573572400000005,587.3
1260686651,way,garden,espace vert,33.537642271428574,-7.586381228571429,1831.9
1273792623,way,pitch,,33.587734420000004,-7.62639364,627.9
1273792627,way,playground,,33.58568552142857,-7.624868585714285,200.5
1273792634,way,pitch,,33.58848684,-7.62602442,578.3
1273792637,way,playground,,33.586464264285716,-7.6241458571428575,283.6
1273792640,way,pitch,,33.58886704,-7.62601622,578.3
1273792642,way,playground,,33.58684174117647,-7.62389754117647,339.0
1273792644,way,pitch,,33.58819182,-7.62638132,643.9
1273792650,way,playground,,33.587916435714284,-7.623207885714286,359.7
1273792655,way,playground,,33.58777815,-7.6229220227272725,1321.1
1273792658,way,pitch,,33.58742128,-7.62658676,612.4
1273792673,way,playground,,33.5873294,-7.62359027,475.7
1273792674,way,playground,,33.58723057647059,-7.622827429411765,415.3
1273792675,way,pitch,,33.58798794,-7.62581582,578.3
1273792681,way,pitch,,33.58877088,-7.62574472,643.5
1273792684,way,pitch,,33.587350439999994,-7.62640954,617.1
1273792703,way,pitch,,33.58807322,-7.62602912,643.9
1273792705,way,playground,,33.58688408888889,-7.6230009277777775,322.7
1273792708,way,pitch,,33.58750782,-7.6267947199999995,643.9
1273792711,way,pitch,,33.58855324,-7.62619182,578.3
1273792718,way,pitch,,33.58864062,-7.62547484,577.9
1273792723,way,pitch,,33.58780652,-7.62661472,643.9
1273792726,way,pitch,,33.58752374,-7.6260802199999995,578.3
1273792727,way,playground,,33.586839730303026,-7.623468933333333,1550.3
1273792736,way,playground,,33.58542052173913,-7.625338117391304,1268.6
1273792738,way,playground,,33.587675,-7.622614446153846,344.2
1273792739,way,pitch,,33.58901975,-7.625250866666667,552.0
1273792741,way,pitch,,33.58841798,-7.62584264,699.7
1273792744,way,pitch,,33.58767048,-7.62622514,624.5
1273792747,way,pitch,,33.5883416,-7.62563836,577.9
1302240916,way,park,,33.55396244,-7.47670972,8730.0
1304114633,way,grass,,33.58614794,-7.56653654,14.5
1304114634,way,grass,,33.586233480000004,-7.5667216999999996,14.5
1304114636,way,grass,,33.58609278,-7.5667355,14.5
1304114638,way,grass,,33.58629264,-7.56651678,14.5
1304114640,way,grass,,33.586202480000004,-7.5663364,14.5
1304114642,way,grass,,33.58625974,-7.56613144,14.5
1304114644,way,grass,,33.58605748,-7.566353,14.5
1304114646,way,grass,,33.58612188,-7.5661435,14.5
1304114648,way,grass,,33.58616912,-7.56594424,14.6
1304114650,way,grass,,33.586001780000004,-7.56655598,14.5
1304124849,way,park,,33.58574445,-7.56801653,2750.7
1304161702,way,grass,,33.58427332,-7.59468556,5834.0
1307917840,way,playground,,33.56529325555555,-7.6551785444444445,1252.9
1307925731,way,park,Aeria Palmeraie,33.56336042857143,-7.6622832857142855,23035.2
1308024223,way,grass,,33.56205212222222,-7.658438988888889,1688.1
1308024224,way,grass,,33.5617379625,-7.658741975,1295.3
1308024225,way,grass,,33.56162134444445,-7.658558677777778,1770.1
1308024226,way,grass,,33.5612933,-7.65896976,521.9
1308024227,way,grass,,33.561161875,-7.6588538999999995,1275.9
1308024228,way,grass,,33.56108434285714,-7.658660528571429,1462.8
1308024554,way,grassland,,33.5627180125,-7.6557075875,51100.7
1308025814,way,garden,,33.564022980000004,-7.66154518,494.8
1308026218,way,grass,,33.56299114,-7.65857872,1941.4
1308026504,way,garden,,33.563329925,-7.656707675,874.7
1308031817,way,pitch,,33.56559862,-7.65394868,563.7
1308031818,way,pitch,,33.56508076,-7.65394406,2195.6
1308031819,way,pitch,,33.56446344,-7.65411738,497.7
1308032195,way,pitch,,33.56567744,-7.65218726,273.7
1308033324,way,pitch,,33.565347800000005,-7.65195908,566.5
1308033325,way,pitch,,33.565664639999994,-7.651976599999999,215.5
1308033326,way,pitch,,33.56534054,-7.6517344,695.2
1308072043,way,park,Parc du Vélodrome حديقة الڤيلودروم,33.58953667142857,-7.645779142857143,22018.2
1308088837,way,garden,,33.563212379999996,-7.66205568,3784.5
1308106650,way,garden,,33.56365742,-7.65976674,167.7
1308106863,way,garden,,33.56293682,-7.65935962,720.3
1308151667,way,scrub,,33.5593414,-7.6580657,5535.2
1308151829,way,scrub,,33.558367775,-7.659325325,44454.6
1308156254,way,park,,33.55781742857143,-7.6536183285714285,6853.1
1308282826,way,pitch,,33.5685957,-7.66422404,611.4
1308282827,way,pitch,,33.56887846,-7.66398216,579.8
1308312064,way,grassland,,33.58834688571429,-7.6377882,360.5
1308317540,way,pitch,,33.58284821666667,-7.64929975,802.1
1308317541,way,pitch,,33.58276441428571,-7.649540914285715,784.5
1308317542,way,pitch,,33.58266532857143,-7.649717728571429,529.3
1308317543,way,pitch,,33.582579228571426,-7.649869428571429,483.4
1308317544,way,pitch,,33.58248628333333,-7.649998666666667,379.8
1308317545,way,pitch,,33.581675157142854,-7.648586214285714,544.9
1308317546,way,pitch,,33.58160108333333,-7.6487753,579.4
1308317547,way,pitch,,33.58152341666666,-7.6489593000000005,602.2
1308317548,way,pitch,,33.581403816666665,-7.649119383333334,590.6
1308317549,way,pitch,,33.581368383333334,-7.6493268,576.8
1308347215,way,pitch,,33.58050686,-7.64429946,677.2
1308347216,way,pitch,,33.58089305,-7.6443484999999995,614.7
1308347217,way,pitch,,33.5809882,-7.6441822,650.8
1308347218,way,pitch,,33.5813794,-7.644606166666667,670.3
1308347219,way,pitch,,33.58145736,-7.64441406,668.3
1308347220,way,pitch,,33.58139244,-7.64473826,374.9
1308525665,way,pitch,,33.608060019999996,-7.65015734,1196.7
1308525666,way,pitch,,33.608399659999996,-7.65037672,1239.7
1308525667,way,pitch,,33.60839426,-7.65066674,1236.2
1308525668,way,pitch,,33.60803318,-7.6505047600000005,1211.3
1308525672,way,pitch,,33.559998300000004,-7.6492598,736.2
1308525673,way,pitch,,33.55985466,-7.64911938,730.7
1308525674,way,pitch,,33.55982008,-7.64887114,668.0
1308525675,way,pitch,,33.55970268,-7.6486317999999995,795.7
1308525676,way,pitch,,33.5596082,-7.64842976,827.3
1308525677,way,pitch,,33.5593943,-7.64883926,888.3
1308525678,way,pitch,,33.55929968,-7.64863592,922.4
1308525679,way,pitch,,33.55904474,-7.6490732999999995,1033.8
1308525680,way,pitch,,33.55895006,-7.6488689,1079.2
1308525681,way,pitch,,33.559514119999996,-7.64922416,788.4
1308527856,way,grass,,33.587967785,-7.6440565000000005,96.5
1308849874,way,pitch,,33.59825358,-7.65686656,809.3
1308917442,way,garden,,33.5954307051282,-7.668134233333333,584.0
1309200347,way,grassland,,33.59130067142857,-7.6370318571428575,1165.7
1309501506,way,pitch,,33.59824142,-7.65752526,375.2
1309501507,way,pitch,,33.598232700000004,-7.65725052,353.0
1311068104,way,pitch,,33.59800482,-7.65744752,415.7
1311068105,way,pitch,,33.59800222,-7.65727968,405.0
1311068106,way,pitch,,33.59777156,-7.65730298,170.3
1311328078,way,grassland,,33.5817045,-7.656578116666667,3659.0
1311328079,way,grassland,,33.58278616,-7.65817309,6625.6
1311329261,way,grassland,,33.579353033333334,-7.6420288,1428.7
1311801638,way,grass,,33.59578556,-7.66190896,422.7
1311801639,way,grassland,,33.59750263,-7.6641041,156.0
1311801640,way,grassland,,33.598517745,-7.660023795,314.5
1311803246,way,grass,,33.59009797,-7.652425255,122.7
1311803247,way,grass,,33.589388105,-7.649385215,105.8
1312203326,way,grassland,,33.56344526,-7.65419849,8484.5
1312222680,way,garden,,33.592935689473684,-7.6542597,426.9
1312222681,way,grass,,33.591567705,-7.652204845,58.2
1312222688,way,grass,,33.59491818,-7.6459554800000005,38.4
1312222689,way,grass,,33.594100715,-7.64477478,50.0
1312225447,way,grass,,33.57869927,-7.645824315,28.8
1312228713,way,grass,,33.578389875,-7.648905245,200.8
1312229443,way,grass,,33.58105524,-7.646456339999999,362.5
1312229444,way,grass,,33.58077087142857,-7.647144328571429,901.5
1312229445,way,grass,,33.581122824999994,-7.646186225,149.1
1312236686,way,grass,,33.60633447826087,-7.633992730434783,945.2
1312236687,way,grass,,33.60598845217391,-7.6337912,944.9
1312284073,way,garden,,33.591204105,-7.656931915,113.7
1312284074,way,grass,,33.59383242,-7.666973825,141.1
1312284075,way,grass,,33.5915922,-7.67735076,200.6
1312284375,way,garden,,33.59891567692308,-7.632315051282052,669.4
1312284592,way,grass,,33.56003108,-7.621018265,510.8
1312284972,way,grass,,33.589636559090906,-7.6454816840909094,1554.7
1312284973,way,grass,,33.58939849090909,-7.645504009090909,483.4
1312284974,way,grass,,33.58947976521739,-7.6453471043478265,300.1
1312284975,way,grass,,33.58929163333333,-7.6456799533333335,472.8
1312284976,way,grass,,33.58920541111111,-7.645820344444444,294.8
1312284977,way,grass,,33.58905347560976,-7.645692158536585,1610.3
1313182398,way,pitch,,33.5652989,-7.65146626,548.9
1313182399,way,pitch,,33.56514252,-7.6512079,686.9
1313182535,way,grass,,33.563191960000005,-7.64970496,11670.6
1313182536,way,pitch,,33.56240302,-7.65073254,4252.8
1314066919,way,park,Parc de Sbata - منتزه سباتة,33.53530304,-7.56732906,29896.8
1314067524,way,grass,,33.594688835,-7.64074713,64.0
1314070992,way,grass,,33.59732528695652,-7.6640939173913045,159.3
1314070993,way,grass,,33.59743951428572,-7.6643126,44.8
1314070994,way,grass,,33.59741018571429,-7.664494071428572,18.8
1314070995,way,grass,,33.597446275,-7.663880525,108.2
1314070996,way,grass,,33.597611004166666,-7.663647220833333,628.0
1314070999,way,grass,,33.59845269090909,-7.660311654545454,49.5
1314071966,way,grass,,33.599926493103446,-7.649030568965517,142.0
1314071967,way,grass,,33.599868525,-7.649389975,47.1
1314075028,way,pitch,,33.606055600000005,-7.6516462999999995,2546.0
1314075030,way,grass,,33.60637614,-7.6515458,425.7
